time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,7.893426819e-08,1.15116903693e-08,10.0054990971,6.28279355046,6.28306757398,0.0,8.99509783602e-06,-1.62229622029e-05,0.183290861365,-0.0246529021582,-0.00620815407306,0.0,463.7635470529189,463.2757955579185,462.5965404225859,460.6516106919343
0.12000000000000001,5.36793451345e-06,-1.76914758835e-05,10.024397111,6.28082332251,6.28271806788,0.0,0.000212835033505,-0.000779015483311,0.446576716215,-0.0590737522767,-0.0050697606535,0.0,486.2167083920845,486.30207520807545,487.0657811283437,484.4845585949022
0.18,3.02109970589e-05,-0.00013551409003,10.0570516167,6.27702119211,6.28262569544,0.0,0.000637317006721,-0.00357255492078,0.641815590045,-0.073749080213,0.00472235337507,0.0,466.2349777311325,466.99931887804564,466.71623435011037,465.56680618960866
0.23999999999999996,7.99616170183e-05,-0.000507581585655,10.1004982385,6.27268239242,6.28283819324,0.0,0.000993203526295,-0.00931763017474,0.80629941885,-0.0695876649473,0.00106879214349,0.0,457.52970121444616,457.23870021446714,457.16540663072334,457.4929311230593
0.3,0.000145519727722,-0.00128229939399,10.1503496477,6.26860074461,0.000132300648804,0.0,0.00116381710084,-0.0168957289224,0.855373778131,-0.0650780885131,0.0191185175085,0.0,420.90967898526213,422.46858409088196,420.3651528427999,420.7519185320172
0.36000000000000004,0.000208744090801,-0.00258777198075,10.2030864402,6.26495365252,0.000872893851204,0.0,0.000849500413237,-0.0269739846214,0.902477208945,-0.0533485216329,-0.00680946359649,0.0,421.781566318181,419.5365722425048,419.96809436895467,420.9812083112905
0.4200000000000001,0.000243112153737,-0.00459999659708,10.2604884513,6.26155966706,0.000164100893649,0.0,0.000351197655233,-0.040437971529,1.01082644436,-0.063932867445,-0.0243986282676,0.0,441.5618871851166,440.10874896322275,440.44655933189796,439.56816379158516
0.48000000000000015,0.00026631894292,-0.00756913707331,10.3277969474,6.25802341843,6.2822385337,0.0,0.00057445697152,-0.0589692832426,1.23256694845,-0.0504626442461,-0.00878006412628,0.0,474.3949911606134,475.592668509655,474.5967308456173,475.6271172731411
0.5400000000000001,0.000319514442394,-0.0115723847189,10.4021734286,6.25514733269,6.2818995771,0.0,0.00123680084499,-0.074735208615,1.24662629522,-0.0433072854463,-2.60972529947e-05,0.0,409.1934343053209,409.9719911645977,410.8073624924498,411.4396647412136
0.6000000000000002,0.000423801286433,-0.0167249222053,10.482741576,6.25253230058,6.28147733315,0.0,0.00225651501198,-0.0973113227257,1.43874698425,-0.0441426878985,-0.0272251989931,0.0,468.7499301857691,466.63178370602975,466.0294071860777,465.96314300565416
0.6600000000000003,0.000604213415231,-0.0232625318014,10.5738371741,6.24977293066,6.2799380361,0.0,0.00393230714607,-0.120901781931,1.59755337523,-0.0499643199056,-0.0226865260599,0.0,456.91293012062266,457.2744874405416,457.7764106033061,457.3117848294598
0.7200000000000003,0.000918654046821,-0.0312752050887,10.6744256829,6.24819480085,6.27838066794,0.0,0.00670853281868,-0.14640974724,1.75515817931,0.00011549725081,-0.0334619282031,0.0,457.61943125917696,456.7608375441212,455.66340708036927,459.64854233229823
0.7800000000000004,0.00142421924889,-0.0407638827007,10.7821809266,6.24807861182,6.27716236041,0.0,0.010295045733,-0.169880790781,1.83655342679,-0.00639385912717,-0.00215934094458,0.0,432.44977191409964,435.0781927114987,434.78983134207107,434.2442108919487
0.8400000000000004,0.00216080856961,-0.0516506934162,10.8944201686,6.24736560443,6.27735640286,0.0,0.014252423314,-0.193060001921,1.90464012854,-0.0260976483684,0.0122831843808,0.0,429.56144561015566,430.78431400937046,430.9442498576005,429.27568429657634
0.9000000000000005,0.00312698117816,-0.0639392669293,11.0105391346,6.24590025411,6.27814542425,0.0,0.0178791754946,-0.21670198087,1.96588170054,-0.0212670854349,0.014830578173,0.0,428.5484494352076,428.7648015559465,427.49540366394046,427.90668076397884
0.9600000000000005,0.00429395641428,-0.077669950568,11.130224908,6.24485810366,6.27939014658,0.0,0.020915277318,-0.241094868286,2.0235378388,-0.0105338553827,0.0305221529085,0.0,427.1265662480426,428.46264635954327,426.25680465448403,427.17305188214596
1.0200000000000005,0.00560997830562,-0.0928195113396,11.2517318661,6.24434594005,6.2815291553,0.0,0.0227765038259,-0.263941611801,2.02668536729,-0.00481315008085,0.0443180076683,0.0,408.8544856985255,410.08239064574803,408.96309525559303,409.4724154375372
1.0800000000000005,0.00700173756852,-0.109508918195,11.3775551564,6.24399183117,0.00127511093961,0.0,0.0233117139045,-0.2923982238,2.16716475998,-0.00817332563303,0.0566558316344,0.0,453.74255094369414,454.7333019708927,453.2798021606244,453.00980358867406
1.1400000000000006,0.00835453868002,-0.12800209227,11.5140494091,6.24396454138,0.00453126205797,0.0,0.0213855153875,-0.324052984075,2.38221550344,0.0116938393355,0.0490108014993,0.0,476.5621713297851,475.9792178871338,476.1159184197509,477.6334455074848
1.2000000000000006,0.00952525199642,-0.148313104632,11.6614568212,6.24469938859,0.00712736668778,0.0,0.0173333292264,-0.352892091303,2.53104602938,0.0133322952379,0.0281669879908,0.0,457.9596352349779,456.29966823927947,458.21004076431797,458.3401453332056
1.2600000000000007,0.0104059091388,-0.170309942986,11.8170523629,6.24526166817,0.00884320326068,0.0,0.0118441228671,-0.380254066893,2.65519068055,-4.11488893171e-05,0.0294441233669,0.0,451.3638324727482,451.46710220210355,450.7255175250534,449.6433169367326
